event_id,date,timestamp,shift,furnace,alloy,part_type,pour_position,pour_temp_c,mold_preheat_c,shell_humidity_rh,parts_cast,parts_good,parts_scrap,first_time_yield,defects,pour_duration_min,effective_yield_target
EVT-10090,2025-10-05,2025-10-05 06:47:00,Day,VIM-03,IN738,Shroud,2,1511.3,1032.7,49.0,12,9,3,0.75,"[""Inclusion"", ""Porosity"", ""Shell Crack""]",37.3,0.77
EVT-10091,2025-10-05,2025-10-05 07:42:00,Day,VIM-01,IN738,HPT Blade,3,1513.2,1069.5,50.9,8,6,2,0.75,"[""Surface Finish"", ""Dimensional""]",35.9,0.79
EVT-10092,2025-10-05,2025-10-05 08:09:00,Day,VIM-04,IN718,Nozzle Guide Vane,4,1507.3,1069.7,45.9,4,4,0,1.0,[],42.3,0.82
EVT-10093,2025-10-05,2025-10-05 13:48:00,Swing,VIM-01,IN718,LPT Blade,1,1521.6,1054.7,48.1,8,5,3,0.625,"[""Dimensional"", ""Inclusion"", ""Dimensional""]",36.2,0.724
EVT-10094,2025-10-05,2025-10-05 14:44:00,Swing,VIM-04,IN718,Shroud,2,1503.9,1050.5,48.2,8,7,1,0.875,"[""Dimensional""]",38.8,0.8
EVT-10095,2025-10-05,2025-10-05 15:46:00,Swing,VIM-03,CMSX-4,Shroud,3,1548.0,1068.1,48.0,8,4,4,0.5,"[""Stray Grain"", ""Dimensional"", ""Stray Grain"", ""Porosity""]",48.1,0.62
EVT-10096,2025-10-05,2025-10-05 16:06:00,Swing,VIM-02,CMSX-4,Combustor Liner,4,1533.4,1068.9,47.5,12,6,6,0.5,"[""Misrun"", ""Porosity"", ""Inclusion"", ""Porosity"", ""Inclusion"", ""Inclusion""]",44.3,0.591
EVT-10097,2025-10-05,2025-10-05 17:00:00,Swing,VIM-02,IN738,LPT Blade,5,1538.9,1079.3,51.6,4,4,0,1.0,[],41.5,0.752
EVT-10098,2025-10-05,2025-10-05 17:43:00,Swing,VIM-01,IN718,Nozzle Guide Vane,6,1491.4,1022.0,48.3,8,6,2,0.75,"[""Hot Tear"", ""Porosity""]",44.4,0.82
EVT-10099,2025-10-05,2025-10-05 18:25:00,Swing,VIM-01,IN738,Nozzle Guide Vane,7,1535.4,1068.6,51.8,8,5,3,0.625,"[""Dimensional"", ""Inclusion"", ""Dimensional""]",35.7,0.759
EVT-10100,2025-10-05,2025-10-05 19:19:00,Swing,VIM-03,IN738,HPT Blade,8,1536.6,1054.5,47.2,8,6,2,0.75,"[""Inclusion"", ""Inclusion""]",39.6,0.757
EVT-10101,2025-10-05,2025-10-05 19:47:00,Swing,VIM-02,CMSX-4,HPT Blade,1,1538.6,1072.8,47.5,12,4,8,0.333,"[""Shell Crack"", ""Inclusion"", ""Shell Crack"", ""Porosity"", ""Stray Grain"", ""Shell Crack"", ""Inclusion"", ""Inclusion""]",29.6,0.56
EVT-10102,2025-10-05,2025-10-05 22:01:00,Night,VIM-01,CMSX-4,LPT Blade,1,1553.1,1106.6,47.8,8,5,3,0.625,"[""Stray Grain"", ""Shell Crack"", ""Shell Crack""]",35.1,0.5
EVT-10103,2025-10-05,2025-10-05 22:57:00,Night,VIM-04,IN738,LPT Blade,2,1512.7,1034.4,48.4,12,9,3,0.75,"[""Dimensional"", ""Shell Crack"", ""Shell Crack""]",32.7,0.73
EVT-10104,2025-10-05,2025-10-05 23:15:00,Night,VIM-03,Waspaloy,Shroud,3,1483.6,1060.7,48.7,6,5,1,0.833,"[""Shell Crack""]",39.9,0.8
EVT-10105,2025-10-05,2025-10-06 00:18:00,Night,VIM-03,Waspaloy,LPT Blade,4,1499.8,1054.2,47.9,6,5,1,0.833,"[""Porosity""]",32.3,0.8
EVT-10106,2025-10-05,2025-10-06 01:14:00,Night,VIM-03,René-80,Seal Ring,5,1512.9,1054.4,50.7,6,6,0,1.0,[],31.0,0.76
EVT-10107,2025-10-06,2025-10-06 05:59:00,Day,VIM-01,IN718,HPT Blade,1,1502.9,1043.1,52.8,8,7,1,0.875,"[""Stray Grain""]",33.4,0.76
EVT-10108,2025-10-06,2025-10-06 06:50:00,Day,VIM-04,IN718,Shroud,2,1491.9,1054.2,50.6,6,6,0,1.0,[],35.9,0.8
EVT-10109,2025-10-06,2025-10-06 07:18:00,Day,VIM-04,IN718,HPT Blade,3,1503.4,1061.2,50.3,6,6,0,1.0,[],33.0,0.82
EVT-10110,2025-10-06,2025-10-06 08:22:00,Day,VIM-02,IN718,Shroud,4,1499.2,1043.5,52.6,12,9,3,0.75,"[""Dimensional"", ""Porosity"", ""Inclusion""]",26.9,0.82
EVT-10111,2025-10-06,2025-10-06 09:07:00,Day,VIM-03,IN718,Combustor Liner,5,1507.9,1072.9,50.4,6,5,1,0.833,"[""Porosity""]",44.3,0.82
EVT-10112,2025-10-06,2025-10-06 09:38:00,Day,VIM-04,CMSX-4,Seal Ring,6,1551.9,1070.7,51.6,4,2,2,0.5,"[""Stray Grain"", ""Shell Crack""]",25.8,0.62
EVT-10113,2025-10-06,2025-10-06 10:27:00,Day,VIM-03,IN718,Nozzle Guide Vane,7,1488.2,1043.0,53.9,8,6,2,0.75,"[""Inclusion"", ""Porosity""]",35.5,0.82
EVT-10114,2025-10-06,2025-10-06 11:25:00,Day,VIM-03,IN718,Nozzle Guide Vane,8,1494.4,1046.7,46.9,6,6,0,1.0,[],32.1,0.82
EVT-10115,2025-10-06,2025-10-06 11:54:00,Day,VIM-01,IN718,Shroud,1,1493.9,1048.3,52.7,6,5,1,0.833,"[""Shell Crack""]",42.4,0.76
EVT-10116,2025-10-06,2025-10-06 13:01:00,Day,VIM-04,René-80,Shroud,2,1502.2,1065.8,54.1,6,5,1,0.833,"[""Stray Grain""]",39.5,0.78
EVT-10117,2025-10-06,2025-10-06 13:21:00,Day,VIM-02,Waspaloy,Seal Ring,3,1498.8,1059.5,51.5,8,7,1,0.875,"[""Shell Crack""]",33.5,0.84
EVT-10118,2025-10-06,2025-10-06 14:16:00,Day,VIM-02,IN718,LPT Blade,4,1496.2,1032.8,51.3,4,4,0,1.0,[],29.9,0.82
EVT-10119,2025-10-06,2025-10-06 14:30:00,Swing,VIM-04,CMSX-4,Nozzle Guide Vane,1,1544.4,1076.5,53.9,6,5,1,0.833,"[""Hot Tear""]",41.4,0.56
EVT-10120,2025-10-06,2025-10-06 14:43:00,Swing,VIM-03,IN718,HPT Blade,2,1494.0,1064.5,54.3,6,5,1,0.833,"[""Porosity""]",37.0,0.8
EVT-10121,2025-10-06,2025-10-06 15:21:00,Swing,VIM-03,IN718,LPT Blade,3,1498.2,1061.0,47.9,4,3,1,0.75,"[""Porosity""]",35.6,0.82
EVT-10122,2025-10-06,2025-10-06 16:07:00,Swing,VIM-01,René-80,LPT Blade,4,1509.8,1033.4,48.1,6,5,1,0.833,"[""Porosity""]",31.9,0.8
EVT-10123,2025-10-06,2025-10-06 17:12:00,Swing,VIM-01,IN738,Nozzle Guide Vane,5,1508.9,1069.0,51.4,6,2,4,0.333,"[""Inclusion"", ""Inclusion"", ""Dimensional"", ""Porosity""]",31.5,0.768
EVT-10124,2025-10-06,2025-10-06 17:51:00,Swing,VIM-01,IN738,Seal Ring,6,1524.5,1041.7,51.6,12,6,6,0.5,"[""Inclusion"", ""Inclusion"", ""Porosity"", ""Hot Tear"", ""Shell Crack"", ""Shell Crack""]",31.4,0.79
EVT-10125,2025-10-06,2025-10-06 18:33:00,Swing,VIM-03,Waspaloy,LPT Blade,7,1486.7,1052.1,52.1,6,5,1,0.833,"[""Inclusion""]",28.1,0.84
EVT-10126,2025-10-06,2025-10-06 19:08:00,Swing,VIM-04,IN718,Nozzle Guide Vane,8,1511.6,1048.0,53.1,8,7,1,0.875,"[""Inclusion""]",39.3,0.82
EVT-10127,2025-10-06,2025-10-06 20:01:00,Swing,VIM-04,IN738,Seal Ring,1,1518.8,1055.7,49.8,4,2,2,0.5,"[""Dimensional"", ""Dimensional""]",30.2,0.73
EVT-10128,2025-10-06,2025-10-06 20:59:00,Swing,VIM-04,IN738,Shroud,2,1529.8,1057.7,50.0,4,2,2,0.5,"[""Inclusion"", ""Shell Crack""]",35.0,0.77
EVT-10129,2025-10-06,2025-10-06 21:36:00,Swing,VIM-04,IN738,LPT Blade,3,1524.5,1050.9,48.9,12,11,1,0.917,"[""Shell Crack""]",38.4,0.79
EVT-10130,2025-10-06,2025-10-06 22:08:00,Swing,VIM-02,IN738,HPT Blade,4,1524.1,1052.2,51.5,8,7,1,0.875,"[""Dimensional""]",33.0,0.79
EVT-10131,2025-10-06,2025-10-06 23:09:00,Swing,VIM-02,Waspaloy,Seal Ring,5,1480.1,1012.3,52.5,8,5,3,0.625,"[""Inclusion"", ""Stray Grain"", ""Shell Crack""]",25.6,0.84
EVT-10132,2025-10-06,2025-10-06 23:45:00,Swing,VIM-04,René-80,LPT Blade,6,1496.9,1058.7,49.9,6,6,0,1.0,[],36.0,0.776
EVT-10133,2025-10-06,2025-10-07 00:29:00,Swing,VIM-02,IN718,LPT Blade,7,1526.9,1043.8,46.2,12,9,3,0.75,"[""Inclusion"", ""Dimensional"", ""Dimensional""]",34.5,0.775
EVT-10134,2025-10-06,2025-10-06 21:58:00,Night,VIM-01,CMSX-4,HPT Blade,1,1541.5,1071.2,48.2,4,3,1,0.75,"[""Inclusion""]",30.0,0.52
EVT-10135,2025-10-06,2025-10-06 22:35:00,Night,VIM-01,Waspaloy,HPT Blade,2,1499.9,1035.0,52.9,12,11,1,0.917,"[""Shell Crack""]",29.0,0.78
