event_id,date,timestamp,shift,furnace,duration_min,category,reason,is_planned
DT-50067,2025-10-03,2025-10-03 14:58:25,Swing,VIM-01,2.3,Short Stop,Operator break,False
DT-50068,2025-10-03,2025-10-03 21:13:14,Swing,VIM-01,3.3,Short Stop,Operator break,False
DT-50069,2025-10-03,2025-10-03 18:32:26,Swing,VIM-01,2.7,Short Stop,Material staging,False
DT-50070,2025-10-03,2025-10-03 15:47:42,Swing,VIM-01,2.0,Short Stop,Shell alignment,False
DT-50071,2025-10-03,2025-10-03 20:32:15,Swing,VIM-02,2.2,Short Stop,Shell alignment,False
DT-50072,2025-10-03,2025-10-03 21:28:05,Swing,VIM-02,2.4,Short Stop,Mold positioning,False
DT-50073,2025-10-03,2025-10-03 17:18:35,Swing,VIM-03,14.0,Short Stop,Operator break,False
DT-50074,2025-10-03,2025-10-03 19:02:03,Swing,VIM-04,13.2,Short Stop,Mold positioning,False
DT-50075,2025-10-03,2025-10-03 17:19:06,Swing,VIM-04,3.8,Short Stop,Shell alignment,False
DT-50076,2025-10-03,2025-10-03 21:11:58,Swing,VIM-04,9.3,Short Stop,Shell alignment,False
DT-50077,2025-10-03,2025-10-03 16:37:31,Swing,VIM-04,7.7,Short Stop,Vacuum leak minor,False
DT-50078,2025-10-03,2025-10-04 04:29:50,Night,VIM-01,7.3,Short Stop,Vacuum leak minor,False
DT-50079,2025-10-03,2025-10-04 03:23:03,Night,VIM-01,1.3,Short Stop,Vacuum leak minor,False
DT-50080,2025-10-03,2025-10-04 01:54:00,Night,VIM-02,8.2,Short Stop,Shell alignment,False
DT-50081,2025-10-03,2025-10-04 04:08:04,Night,VIM-03,10.0,Short Stop,Pour rate adjustment,False
DT-50082,2025-10-03,2025-10-03 22:47:15,Night,VIM-03,1.6,Short Stop,Thermocouple check,False
DT-50083,2025-10-03,2025-10-04 02:02:40,Night,VIM-03,2.1,Short Stop,Operator break,False
DT-50084,2025-10-03,2025-10-04 05:00:27,Night,VIM-03,3.0,Short Stop,Thermocouple check,False
DT-50085,2025-10-03,2025-10-04 04:59:20,Night,VIM-03,5.9,Short Stop,Shell alignment,False
DT-50086,2025-10-03,2025-10-04 05:46:30,Night,VIM-04,6.2,Short Stop,Thermocouple check,False
DT-50087,2025-10-03,2025-10-03 23:07:46,Night,VIM-04,2.4,Short Stop,Mold positioning,False
DT-50088,2025-10-04,2025-10-04 12:35:48,Day,VIM-02,2.1,Short Stop,Shell alignment,False
DT-50089,2025-10-04,2025-10-04 07:04:27,Day,VIM-02,1.1,Short Stop,Operator break,False
DT-50090,2025-10-04,2025-10-04 12:20:58,Day,VIM-03,2.0,Short Stop,Operator break,False
DT-50091,2025-10-04,2025-10-04 12:50:09,Day,VIM-04,7.3,Short Stop,Thermocouple check,False
DT-50092,2025-10-04,2025-10-04 06:50:29,Day,VIM-04,6.6,Short Stop,Pour rate adjustment,False
DT-50093,2025-10-04,2025-10-04 07:48:22,Day,VIM-04,3.7,Short Stop,Chamber pressure fluctuation,False
DT-50094,2025-10-04,2025-10-04 13:25:09,Day,VIM-04,7.0,Short Stop,Vacuum leak minor,False
DT-50095,2025-10-04,2025-10-04 09:01:31,Day,VIM-04,3.5,Short Stop,Operator break,False
DT-50096,2025-10-04,2025-10-04 18:33:38,Swing,VIM-01,8.5,Short Stop,Vacuum leak minor,False
DT-50097,2025-10-04,2025-10-04 21:17:43,Swing,VIM-01,4.6,Short Stop,Material staging,False
DT-50098,2025-10-04,2025-10-04 19:57:21,Swing,VIM-01,3.3,Short Stop,Shell alignment,False
DT-50099,2025-10-04,2025-10-04 17:58:02,Swing,VIM-02,9.7,Short Stop,Shell alignment,False
DT-50100,2025-10-04,2025-10-04 15:13:17,Swing,VIM-03,9.0,Short Stop,Pour rate adjustment,False
DT-50101,2025-10-04,2025-10-04 15:00:00,Swing,VIM-03,138.4,Planned Maintenance,PM - Vacuum system service,True
DT-50102,2025-10-04,2025-10-04 17:37:34,Swing,VIM-04,1.0,Short Stop,Shell alignment,False
DT-50103,2025-10-04,2025-10-04 17:40:45,Swing,VIM-04,13.0,Short Stop,Shell alignment,False
DT-50104,2025-10-04,2025-10-05 02:41:56,Night,VIM-01,2.7,Short Stop,Material staging,False
DT-50105,2025-10-04,2025-10-04 23:11:57,Night,VIM-01,1.8,Short Stop,Material staging,False
DT-50106,2025-10-04,2025-10-05 01:08:53,Night,VIM-02,14.0,Short Stop,Thermocouple check,False
DT-50107,2025-10-04,2025-10-05 05:42:56,Night,VIM-02,10.4,Short Stop,Mold positioning,False
DT-50108,2025-10-04,2025-10-05 04:37:30,Night,VIM-02,10.9,Short Stop,Mold positioning,False
DT-50109,2025-10-04,2025-10-05 03:49:39,Night,VIM-03,1.2,Short Stop,Material staging,False
DT-50110,2025-10-04,2025-10-04 22:20:42,Night,VIM-03,4.8,Short Stop,Mold positioning,False
DT-50111,2025-10-04,2025-10-05 04:31:36,Night,VIM-03,10.2,Short Stop,Operator break,False
DT-50112,2025-10-04,2025-10-04 23:34:33,Night,VIM-03,4.5,Short Stop,Operator break,False
DT-50113,2025-10-04,2025-10-05 00:39:23,Night,VIM-03,3.8,Short Stop,Pour rate adjustment,False
DT-50114,2025-10-04,2025-10-05 05:18:26,Night,VIM-04,3.9,Short Stop,Material staging,False
DT-50115,2025-10-04,2025-10-05 03:16:51,Night,VIM-04,9.0,Short Stop,Thermocouple check,False
DT-50116,2025-10-04,2025-10-05 05:20:15,Night,VIM-04,9.9,Short Stop,Mold positioning,False
DT-50117,2025-10-05,2025-10-05 08:34:40,Day,VIM-01,5.9,Short Stop,Pour rate adjustment,False
DT-50118,2025-10-05,2025-10-05 13:19:10,Day,VIM-01,10.1,Short Stop,Shell alignment,False
DT-50119,2025-10-05,2025-10-05 09:47:45,Day,VIM-01,3.8,Short Stop,Vacuum leak minor,False
DT-50120,2025-10-05,2025-10-05 06:32:54,Day,VIM-01,2.0,Short Stop,Thermocouple check,False
DT-50121,2025-10-05,2025-10-05 08:39:08,Day,VIM-02,8.1,Short Stop,Thermocouple check,False
DT-50122,2025-10-05,2025-10-05 06:35:49,Day,VIM-02,6.3,Short Stop,Shell alignment,False
DT-50123,2025-10-05,2025-10-05 08:41:16,Day,VIM-04,4.4,Short Stop,Operator break,False
DT-50124,2025-10-05,2025-10-05 15:20:14,Swing,VIM-01,10.2,Short Stop,Vacuum leak minor,False
DT-50125,2025-10-05,2025-10-05 20:39:33,Swing,VIM-01,3.8,Short Stop,Thermocouple check,False
DT-50126,2025-10-05,2025-10-05 17:02:26,Swing,VIM-01,5.7,Short Stop,Vacuum leak minor,False
DT-50127,2025-10-05,2025-10-05 18:24:07,Swing,VIM-02,14.0,Short Stop,Material staging,False
DT-50128,2025-10-05,2025-10-05 16:46:35,Swing,VIM-02,3.3,Short Stop,Shell alignment,False
DT-50129,2025-10-05,2025-10-05 18:59:53,Swing,VIM-02,1.5,Short Stop,Shell alignment,False
DT-50130,2025-10-05,2025-10-05 17:59:10,Swing,VIM-02,4.8,Short Stop,Operator break,False
DT-50131,2025-10-05,2025-10-05 20:51:15,Swing,VIM-03,9.9,Short Stop,Mold positioning,False
DT-50132,2025-10-05,2025-10-06 00:27:07,Night,VIM-01,2.8,Short Stop,Thermocouple check,False
DT-50133,2025-10-05,2025-10-06 04:51:28,Night,VIM-01,3.7,Short Stop,Thermocouple check,False
DT-50134,2025-10-05,2025-10-05 23:17:43,Night,VIM-01,3.7,Short Stop,Thermocouple check,False
DT-50135,2025-10-05,2025-10-05 23:00:00,Night,VIM-02,180.0,Planned Maintenance,PM - Furnace rebuild,True
DT-50136,2025-10-05,2025-10-06 01:24:04,Night,VIM-03,11.3,Short Stop,Material staging,False
DT-50137,2025-10-05,2025-10-06 05:24:01,Night,VIM-03,2.6,Short Stop,Vacuum leak minor,False
DT-50138,2025-10-05,2025-10-06 03:56:17,Night,VIM-04,6.5,Short Stop,Vacuum leak minor,False
DT-50139,2025-10-05,2025-10-05 23:00:00,Night,VIM-04,180.2,Planned Maintenance,PM - Vacuum system service,True
DT-50140,2025-10-06,2025-10-06 11:39:42,Day,VIM-01,1.9,Short Stop,Vacuum leak minor,False
DT-50141,2025-10-06,2025-10-06 09:33:52,Day,VIM-01,3.6,Short Stop,Shell alignment,False
DT-50142,2025-10-06,2025-10-06 10:43:01,Day,VIM-02,1.8,Short Stop,Mold positioning,False
DT-50143,2025-10-06,2025-10-06 12:16:37,Day,VIM-02,5.5,Short Stop,Material staging,False
DT-50144,2025-10-06,2025-10-06 13:44:42,Day,VIM-02,13.8,Short Stop,Operator break,False
DT-50145,2025-10-06,2025-10-06 07:55:53,Day,VIM-03,2.2,Short Stop,Mold positioning,False
DT-50146,2025-10-06,2025-10-06 09:23:04,Day,VIM-03,4.7,Short Stop,Vacuum leak minor,False
DT-50147,2025-10-06,2025-10-06 12:42:41,Day,VIM-03,4.5,Short Stop,Material staging,False
DT-50148,2025-10-06,2025-10-06 06:18:57,Day,VIM-03,6.3,Short Stop,Shell alignment,False
DT-50149,2025-10-06,2025-10-06 12:48:45,Day,VIM-03,8.0,Short Stop,Thermocouple check,False
DT-50150,2025-10-06,2025-10-06 11:50:33,Day,VIM-04,14.0,Short Stop,Material staging,False
DT-50151,2025-10-06,2025-10-06 18:10:53,Swing,VIM-01,4.0,Short Stop,Vacuum leak minor,False
DT-50152,2025-10-06,2025-10-06 18:01:45,Swing,VIM-01,3.6,Short Stop,Shell alignment,False
DT-50153,2025-10-06,2025-10-06 15:02:48,Swing,VIM-01,4.5,Short Stop,Mold positioning,False
DT-50154,2025-10-06,2025-10-06 21:44:31,Swing,VIM-02,6.6,Short Stop,Material staging,False
DT-50155,2025-10-06,2025-10-06 18:47:05,Swing,VIM-02,2.9,Short Stop,Material staging,False
DT-50156,2025-10-06,2025-10-06 20:49:46,Swing,VIM-03,1.8,Short Stop,Shell alignment,False
DT-50157,2025-10-06,2025-10-06 15:05:39,Swing,VIM-03,1.2,Short Stop,Operator break,False
DT-50158,2025-10-06,2025-10-06 21:04:21,Swing,VIM-03,1.7,Short Stop,Mold positioning,False
DT-50159,2025-10-06,2025-10-06 17:04:29,Swing,VIM-03,5.8,Short Stop,Material staging,False
DT-50160,2025-10-06,2025-10-06 19:36:38,Swing,VIM-03,1.7,Short Stop,Thermocouple check,False
DT-50161,2025-10-06,2025-10-06 21:15:07,Swing,VIM-03,1.4,Short Stop,Shell alignment,False
DT-50162,2025-10-06,2025-10-06 22:07:04,Swing,VIM-03,140.7,Breakdown,Crucible crack,False
DT-50163,2025-10-06,2025-10-06 15:08:30,Swing,VIM-04,1.9,Short Stop,Thermocouple check,False
DT-50164,2025-10-06,2025-10-06 19:53:51,Swing,VIM-04,11.8,Short Stop,Material staging,False
DT-50165,2025-10-06,2025-10-07 04:21:34,Night,VIM-01,1.7,Short Stop,Thermocouple check,False
DT-50166,2025-10-06,2025-10-07 00:48:00,Night,VIM-01,7.9,Short Stop,Thermocouple check,False
DT-50167,2025-10-06,2025-10-07 00:48:23,Night,VIM-01,2.9,Short Stop,Vacuum leak minor,False
DT-50168,2025-10-06,2025-10-07 01:43:18,Night,VIM-01,7.3,Short Stop,Operator break,False
DT-50169,2025-10-06,2025-10-07 05:05:16,Night,VIM-01,2.0,Short Stop,Vacuum leak minor,False
DT-50170,2025-10-06,2025-10-07 01:14:02,Night,VIM-01,1.6,Short Stop,Thermocouple check,False
DT-50171,2025-10-06,2025-10-07 05:53:20,Night,VIM-01,49.5,Breakdown,Heating element burnout,False
DT-50172,2025-10-06,2025-10-07 05:24:06,Night,VIM-02,1.8,Short Stop,Thermocouple check,False
DT-50173,2025-10-06,2025-10-06 23:00:00,Night,VIM-03,207.7,Planned Maintenance,PM - Crucible change,True
DT-50174,2025-10-06,2025-10-06 23:37:38,Night,VIM-04,2.5,Short Stop,Shell alignment,False
DT-50175,2025-10-06,2025-10-06 23:10:22,Night,VIM-04,10.2,Short Stop,Pour rate adjustment,False
DT-50176,2025-10-07,2025-10-07 06:33:51,Day,VIM-01,1.1,Short Stop,Operator break,False
DT-50177,2025-10-07,2025-10-07 09:59:52,Day,VIM-01,1.8,Short Stop,Mold positioning,False
DT-50178,2025-10-07,2025-10-07 10:38:08,Day,VIM-01,3.4,Short Stop,Operator break,False
DT-50179,2025-10-07,2025-10-07 06:54:48,Day,VIM-01,12.5,Short Stop,Shell alignment,False
DT-50180,2025-10-07,2025-10-07 07:30:19,Day,VIM-01,3.8,Short Stop,Shell alignment,False
DT-50181,2025-10-07,2025-10-07 13:02:33,Day,VIM-02,2.7,Short Stop,Operator break,False
DT-50182,2025-10-07,2025-10-07 12:53:48,Day,VIM-02,1.5,Short Stop,Thermocouple check,False
DT-50183,2025-10-07,2025-10-07 11:47:15,Day,VIM-02,3.1,Short Stop,Material staging,False
DT-50184,2025-10-07,2025-10-07 07:02:26,Day,VIM-02,14.0,Short Stop,Operator break,False
DT-50185,2025-10-07,2025-10-07 12:50:26,Day,VIM-02,6.6,Short Stop,Chamber pressure fluctuation,False
DT-50186,2025-10-07,2025-10-07 13:31:20,Day,VIM-02,144.1,Breakdown,Induction coil fault,False
DT-50187,2025-10-07,2025-10-07 06:49:45,Day,VIM-03,8.3,Short Stop,Material staging,False
DT-50188,2025-10-07,2025-10-07 11:47:21,Day,VIM-03,6.5,Short Stop,Vacuum leak minor,False
DT-50189,2025-10-07,2025-10-07 06:41:19,Day,VIM-03,10.0,Short Stop,Thermocouple check,False
DT-50190,2025-10-07,2025-10-07 13:45:20,Day,VIM-03,2.1,Short Stop,Thermocouple check,False
DT-50191,2025-10-07,2025-10-07 09:02:45,Day,VIM-03,3.0,Short Stop,Chamber pressure fluctuation,False
DT-50192,2025-10-07,2025-10-07 17:12:56,Swing,VIM-01,1.8,Short Stop,Thermocouple check,False
DT-50193,2025-10-07,2025-10-07 21:05:13,Swing,VIM-01,14.0,Short Stop,Chamber pressure fluctuation,False
DT-50194,2025-10-07,2025-10-07 17:31:41,Swing,VIM-01,2.4,Short Stop,Thermocouple check,False
DT-50195,2025-10-07,2025-10-07 21:27:15,Swing,VIM-02,13.8,Short Stop,Vacuum leak minor,False
DT-50196,2025-10-07,2025-10-07 17:23:48,Swing,VIM-02,1.4,Short Stop,Pour rate adjustment,False
DT-50197,2025-10-07,2025-10-07 14:50:41,Swing,VIM-02,4.4,Short Stop,Material staging,False
DT-50198,2025-10-07,2025-10-07 20:54:38,Swing,VIM-02,5.2,Short Stop,Material staging,False
DT-50199,2025-10-07,2025-10-07 19:36:39,Swing,VIM-02,1.1,Short Stop,Pour rate adjustment,False
DT-50200,2025-10-07,2025-10-07 16:55:33,Swing,VIM-02,2.0,Short Stop,Vacuum leak minor,False
DT-50201,2025-10-07,2025-10-07 21:43:57,Swing,VIM-03,14.0,Short Stop,Shell alignment,False
DT-50202,2025-10-07,2025-10-07 17:52:19,Swing,VIM-03,5.3,Short Stop,Operator break,False
DT-50203,2025-10-07,2025-10-07 17:29:36,Swing,VIM-03,4.7,Short Stop,Operator break,False
DT-50204,2025-10-07,2025-10-07 17:08:27,Swing,VIM-03,2.9,Short Stop,Operator break,False
DT-50205,2025-10-07,2025-10-07 17:26:15,Swing,VIM-04,6.3,Short Stop,Vacuum leak minor,False
DT-50206,2025-10-07,2025-10-07 16:21:24,Swing,VIM-04,4.4,Short Stop,Vacuum leak minor,False
DT-50207,2025-10-07,2025-10-08 02:21:16,Night,VIM-02,5.8,Short Stop,Thermocouple check,False
DT-50208,2025-10-07,2025-10-08 05:29:55,Night,VIM-03,12.1,Short Stop,Thermocouple check,False
DT-50209,2025-10-07,2025-10-07 23:46:42,Night,VIM-03,6.0,Short Stop,Thermocouple check,False
DT-50210,2025-10-07,2025-10-08 01:43:46,Night,VIM-03,4.3,Short Stop,Vacuum leak minor,False
DT-50211,2025-10-07,2025-10-08 04:28:21,Night,VIM-03,4.4,Short Stop,Mold positioning,False
DT-50212,2025-10-07,2025-10-08 04:05:50,Night,VIM-03,6.1,Short Stop,Operator break,False
DT-50213,2025-10-07,2025-10-07 23:56:49,Night,VIM-03,8.3,Short Stop,Mold positioning,False
DT-50214,2025-10-07,2025-10-08 03:30:41,Night,VIM-04,8.4,Short Stop,Shell alignment,False
DT-50215,2025-10-07,2025-10-08 00:20:03,Night,VIM-04,7.2,Short Stop,Operator break,False
DT-50216,2025-10-07,2025-10-08 02:05:40,Night,VIM-04,14.0,Short Stop,Mold positioning,False
DT-50217,2025-10-08,2025-10-08 08:37:40,Day,VIM-01,3.1,Short Stop,Vacuum leak minor,False
DT-50218,2025-10-08,2025-10-08 08:09:12,Day,VIM-01,6.1,Short Stop,Vacuum leak minor,False
DT-50219,2025-10-08,2025-10-08 12:53:33,Day,VIM-02,2.0,Short Stop,Vacuum leak minor,False
DT-50220,2025-10-08,2025-10-08 12:08:24,Day,VIM-02,4.4,Short Stop,Shell alignment,False
DT-50221,2025-10-08,2025-10-08 08:08:05,Day,VIM-03,5.4,Short Stop,Operator break,False
DT-50222,2025-10-08,2025-10-08 07:10:37,Day,VIM-04,14.0,Short Stop,Thermocouple check,False
DT-50223,2025-10-08,2025-10-08 19:41:12,Swing,VIM-01,4.3,Short Stop,Operator break,False
DT-50224,2025-10-08,2025-10-08 19:39:33,Swing,VIM-01,1.7,Short Stop,Shell alignment,False
DT-50225,2025-10-08,2025-10-08 15:15:24,Swing,VIM-02,3.1,Short Stop,Material staging,False
DT-50226,2025-10-08,2025-10-08 16:35:09,Swing,VIM-02,3.1,Short Stop,Shell alignment,False
DT-50227,2025-10-08,2025-10-08 15:23:22,Swing,VIM-03,2.6,Short Stop,Material staging,False
DT-50228,2025-10-08,2025-10-08 19:58:45,Swing,VIM-03,3.8,Short Stop,Thermocouple check,False
DT-50229,2025-10-08,2025-10-08 18:51:30,Swing,VIM-04,1.0,Short Stop,Vacuum leak minor,False
DT-50230,2025-10-08,2025-10-08 17:13:07,Swing,VIM-04,1.6,Short Stop,Pour rate adjustment,False
DT-50231,2025-10-08,2025-10-08 14:59:42,Swing,VIM-04,2.5,Short Stop,Material staging,False
DT-50232,2025-10-08,2025-10-08 23:14:52,Night,VIM-02,2.3,Short Stop,Chamber pressure fluctuation,False
DT-50233,2025-10-08,2025-10-08 23:00:00,Night,VIM-02,185.5,Planned Maintenance,PM - Crucible change,True
DT-50234,2025-10-08,2025-10-09 02:02:53,Night,VIM-03,1.2,Short Stop,Pour rate adjustment,False
DT-50235,2025-10-08,2025-10-09 00:31:42,Night,VIM-03,2.8,Short Stop,Vacuum leak minor,False
DT-50236,2025-10-08,2025-10-09 01:27:24,Night,VIM-03,14.0,Short Stop,Thermocouple check,False
DT-50237,2025-10-08,2025-10-09 03:42:10,Night,VIM-04,9.1,Short Stop,Vacuum leak minor,False
DT-50238,2025-10-09,2025-10-09 11:10:53,Day,VIM-01,3.5,Short Stop,Shell alignment,False
DT-50239,2025-10-09,2025-10-09 10:54:28,Day,VIM-01,3.8,Short Stop,Thermocouple check,False
DT-50240,2025-10-09,2025-10-09 11:04:03,Day,VIM-01,7.0,Short Stop,Vacuum leak minor,False
DT-50241,2025-10-09,2025-10-09 12:32:41,Day,VIM-01,1.4,Short Stop,Vacuum leak minor,False
DT-50242,2025-10-09,2025-10-09 08:13:19,Day,VIM-02,2.3,Short Stop,Pour rate adjustment,False
DT-50243,2025-10-09,2025-10-09 11:14:52,Day,VIM-04,9.7,Short Stop,Shell alignment,False
DT-50244,2025-10-09,2025-10-09 12:18:41,Day,VIM-04,8.9,Short Stop,Chamber pressure fluctuation,False
DT-50245,2025-10-09,2025-10-09 13:14:29,Day,VIM-04,3.5,Short Stop,Operator break,False
DT-50246,2025-10-09,2025-10-09 13:15:38,Day,VIM-04,1.0,Short Stop,Operator break,False
DT-50247,2025-10-09,2025-10-09 21:38:01,Swing,VIM-01,13.8,Short Stop,Chamber pressure fluctuation,False
DT-50248,2025-10-09,2025-10-09 21:43:02,Swing,VIM-01,12.3,Short Stop,Pour rate adjustment,False
DT-50249,2025-10-09,2025-10-09 15:05:08,Swing,VIM-01,2.0,Short Stop,Pour rate adjustment,False
DT-50250,2025-10-09,2025-10-09 19:44:19,Swing,VIM-01,11.4,Short Stop,Mold positioning,False
DT-50251,2025-10-09,2025-10-09 15:14:12,Swing,VIM-01,13.4,Short Stop,Mold positioning,False
DT-50252,2025-10-09,2025-10-09 18:32:34,Swing,VIM-01,4.8,Short Stop,Operator break,False
